Date,BCOMTR Index,LBUSTRUU Index,RU20INTR Index,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5TELS Index,S5UTIL Index,SPXT Index
1990/1/2,87.304,397.08,561.2,73.3261,62.86,92.03,77.35,73.63,76.87,67.14,79.88,101.27,104.6,386.16
1990/1/3,88.5455,396.36,563.96,73.1503,62.72,90.74,77.48,74.18,76.81,67.29,80.17,100.47,103.66,385.17
1990/1/4,87.8634,396.88,561.97,72.8757,61.89,89.68,76.97,73.68,76.54,67.64,79.92,97.78,102.09,382.02
1990/1/5,87.1479,396.72,560.48,72.3403,61.38,88.79,76.24,72.6,76.08,67.26,79.59,95.64,100.67,378.3
1990/1/8,85.825,396.72,560.47,72.4688,61.41,89.65,76.31,73.01,76.42,67.75,79.61,97.12,100.5,380.04
1990/1/9,86.1635,396.8,559.78,71.5287,60.72,88.61,75.22,72.18,75.47,67.18,78.99,95.64,99.57,375.56
1990/1/10,87.3303,396.92,555.45,70.932,60.19,88.43,74.51,71.84,75.05,66.56,78.77,94.04,100.07,373.09
1990/1/11,87.9795,396.96,555.68,71.0692,60.34,89.18,74.83,72.26,75.28,66.79,79.15,93.83,100.36,374.4
1990/1/12,87.493,396.32,543.53,69.1202,58.85,87.3,73.11,70.42,73.4,65.26,77.24,91.1,98.22,365.22
1990/1/15,86.6019,396.6,538.77,68.3542,58.41,87.13,72.23,69.57,72.78,65.18,76.17,89.94,97.87,362.07
1990/1/16,86.3479,395.01,540.1,69.2328,59.21,87.49,72.73,70.08,73.55,67.04,76.74,91.43,98.63,366.12
1990/1/17,85.9249,395.13,540.47,68.5923,58.53,86.5,72.04,69.7,73.05,66.24,75.66,90.15,98.18,362.54
1990/1/18,86.0237,393.03,538.01,68.5605,58.68,87.11,72.01,70.25,73.33,65.89,75.47,90.42,98.65,363.38
1990/1/19,86.2415,393.98,540.73,68.8568,58.64,88.22,71.84,70.53,73.67,65.46,75.2,90.93,98.74,364.43
1990/1/22,85.8638,394.14,532.61,67.0841,57.16,85.55,69.86,68.61,72,64.1,73.08,87.95,97.47,355.04
1990/1/23,85.708,394.54,530.34,67.1703,57.33,85.99,69.54,68.77,72.22,64.7,73.58,88.8,97.89,356.36
1990/1/24,85.5597,392.95,522.93,66.584,56.91,86,68.94,68.74,72.09,64.84,72.95,88.76,97.33,348.44
1990/1/25,86.0288,392.31,522.17,65.9036,55.62,85.35,68.29,67.64,71.12,64.2,71.74,87.92,96.27,350.51
1990/1/26,86.3947,390.88,517.78,65.9868,55.43,85.87,67.91,67.52,71.24,64.25,71.86,86.33,96.95,350.25
1990/1/29,86.6579,391.28,512.25,65.6394,55.41,86.58,67.36,67.41,70.79,64.26,71.58,86.43,96.77,349.67
1990/1/30,86.0812,390.76,504.66,65.027,55,86.83,66.58,66.87,70.31,64.17,71.25,84.76,96.58,347.38
1990/1/31,86.207,392.48,506.95,66.4561,56.33,88.24,68.08,67.78,71.45,65.19,72.01,86.98,98.43,353.94
1990/2/1,86.293,393.02,510.46,66.2357,56.32,88.23,68,68.15,71.46,64.95,71.72,86.85,98.31,353.68
1990/2/2,87.014,392,515.82,66.7813,56.72,88.89,68.21,68.88,71.83,65.26,72.02,87.59,98.63,356.02
1990/2/5,86.4266,391.84,518.81,66.9758,56.78,89.11,68.5,68.78,72,66.01,72.2,88.13,98.43,357.28
1990/2/6,86.4756,391.29,519.01,66.476,56.39,88.55,67.91,68.09,71.73,66.31,71.75,86.78,98.1,355.05
1990/2/7,86.5244,391.49,523.44,67.6813,57.03,90.14,68.62,68.79,72.44,67.83,72.34,87.15,98.77,359.53
1990/2/8,86.3576,392.2,524.7,67.33,56.9,90.84,68.09,68.54,72.42,67.74,72,86.43,98.5,358.7
1990/2/9,86.3185,394.24,526.33,67.5895,56.97,90.92,68.13,68.47,72.63,67.74,72.39,86.4,99.05,359.58
1990/2/12,86.902,393.65,524.37,66.9609,56.27,89.86,67.65,67.93,71.73,66.79,71.62,85.54,98.1,355.89
1990/2/13,87.1328,395.22,523.42,67.1019,56.16,90.35,67.83,67.93,71.99,67.58,71.63,85.74,98.57,357.01
1990/2/14,87.4794,395.26,523.8,67.3398,56.19,90.28,68.39,68.27,72.04,67.93,71.92,86.22,98.76,358.1
1990/2/15,87.9837,393.77,527.01,67.8267,56.63,91.9,69.54,69.04,72.46,68.04,72.18,86.87,98.92,361.23
1990/2/16,87.9511,394.16,527.32,67.1548,56.29,91.63,69.77,68.22,72.04,67.08,72.35,85.65,98.33,358.99
1990/2/20,87.9931,391.14,522.68,66.1481,55.47,90.77,68.56,67.31,71.02,66.21,71.49,83.67,97.21,353.91
1990/2/21,88.0112,391.29,519.95,66.3427,55.18,90.91,68.71,66.76,71,66.69,71.15,83.28,96.98,353.57
1990/2/22,88.299,392.9,522.46,65.9456,54.87,89.51,68.72,65.8,70.88,66.01,71.12,83.45,96.21,351.48
1990/2/23,88.1216,392.98,518.52,65.584,54.57,88.96,68.64,64.65,70.83,65.52,70.9,83.37,96.12,349.9
1990/2/26,88.1803,394.47,517.76,66.7277,55.17,90.33,69.68,65.45,71.75,66.58,71.55,84.87,96.9,354.88
1990/2/27,87.7089,395.34,519.39,67.298,55.29,90.13,69.8,65.8,72.58,66.76,71.77,85.8,96.88,356.66
