Date,BCOMTR Index,LBUSTRUU Index,RU20INTR Index,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5TELS Index,S5UTIL Index,SPXT Index
1990/1/3,0.014120263,-0.001814883,0.004905979,-0.002400388,-0.002229655,-0.014116337,0.001679262,0.007442021,-0.000780843,0.002231646,0.003623872,-0.007931042,-0.009027239,-0.002566996
1990/1/4,-0.007733208,0.001311079,-0.003534859,-0.003760979,-0.01332176,-0.011750495,-0.006604103,-0.00676318,-0.00352136,0.005187887,-0.003123246,-0.027139118,-0.015261536,-0.008211832
1990/1/5,-0.00817666,-0.000403226,-0.002654908,-0.007373877,-0.008274567,-0.009973748,-0.009529476,-0.01476647,-0.006028062,-0.005633818,-0.004137678,-0.022128915,-0.014006936,-0.009785432
1990/1/8,-0.008831344,0,-1.03011E-05,0.001024653,0.000282116,0.005565177,0.000529853,0.003251346,0.002574419,0.004190843,0.000145063,0.008865897,-0.000975787,0.002649448
1990/1/9,0.003936315,0.000201633,-0.001231868,-0.013057357,-0.011299555,-0.011668482,-0.014386838,-0.011433419,-0.012509216,-0.008448876,-0.007818451,-0.015356185,-0.009296813,-0.011858265
1990/1/10,0.013450828,0.000302374,-0.007765253,-0.008377096,-0.008766908,-0.002033439,-0.009483808,-0.004721575,-0.005580668,-0.009271788,-0.002789048,-0.016870919,0.005009027,-0.006598568
1990/1/11,0.007406351,0.000100771,0.000413993,0.001932379,0.002489008,0.008445521,0.00428553,0.005829302,0.003059937,0.003449572,0.004812573,-0.002235589,0.00289378,0.003505067
1990/1/12,-0.005545043,-0.001613554,-0.022107686,-0.027807032,-0.0250034,-0.021306336,-0.023253718,-0.025793412,-0.02529056,-0.023174078,-0.024427329,-0.02952683,-0.021553861,-0.024824833
1990/1/15,-0.005910355,0.000407754,-0.005078453,-0.006433996,-0.004332855,-0.001125375,-0.006991529,-0.007011269,-0.004897514,-0.000708188,-0.008053905,-0.007398757,-0.002061021,-0.005001209
1990/1/16,-0.002937271,-0.004017135,0.002465544,0.012771729,0.013603338,0.004123245,0.006898482,0.007304007,0.010524255,0.028136783,0.0074554,0.016430871,0.007735408,0.011123585
1990/1/17,-0.004910826,0.000303744,0.000684824,-0.009294455,-0.011551003,-0.011380087,-0.009532434,-0.005437129,-0.006821309,-0.012004946,-0.014173466,-0.014098703,-0.004572946,-0.009826335
1990/1/18,0.001149181,-0.00532888,-0.004561984,-0.000463716,0.00255951,0.007027274,-0.000416522,0.00785999,0.003825664,-0.005297825,-0.002514393,0.002990532,0.004775704,0.002314306
